T_amb_set,mode,actual_charge,total_charge,P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_s1[kW],Q_s2[kW],Q_total[kW],COP,m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],acc_charge
-10,0,425.292,800,21.01679781931683,-17.64884377520499,91.00000000031112,106.6790278817221,90.83960728067842,47.91032375208812,90.57485512079178,7.969789108707232,22.00439787125354,-16.30830807757576,21.76404996340529,-16.67407208570756,1.411050504998463,1.550457523595918,2.469083179921044,4.01954070351696,2.848615757748047,0.0130437773464505,-10,26.87595006912204,50.00000000027165,6,-10,2.5,437.2656585981721,522.2637762521406,403.3980916873984,214.1060550065568,270.321636074044,436.8872525706341,374.708
-10,0,425.292,850,21.01679781928876,-17.64884378032076,91.00000000108236,106.6790278743317,90.83960728144952,47.91032375215383,90.57485512155914,7.969789108742932,22.00439787121898,-16.30830807762834,21.76404996338933,-16.67407208481779,1.411050392255943,1.550457399671886,2.4690829827221,4.019540382393986,2.848615757774371,0.0130437763048297,-10,26.87595006924414,50.00000000016001,6,-10,2.5,437.2656585914178,522.2637762414655,403.3980916852386,214.1060550065769,270.3216360661253,436.8872525718767,424.708
-10,0,442.776,900,21.19488697987119,-17.55533693394167,92.20955871304932,104.5374598041221,92.05941639268974,47.09614423723542,91.81315107108564,6.345824967502324,22.13149973844916,-16.11558633513255,21.90535848760986,-16.45904970637213,1.369084594850604,1.577159384450261,2.363894908592584,3.941054293042845,2.878605389225708,0.0127871172101109,-10,25.3060938078608,48.8301893211392,6,-10,2.5,434.9448027472296,518.4248932624774,395.0851788815712,210.2198280952805,264.9247606089323,433.5391439381551,457.224
-20,0,199.690046,200,0.2010229076137772,-39.50169672667548,36.19893336804952,400.1696199940903,36.18951476887989,2.5532580622517,36.18588490055558,1.472153003487051,0.4025388768172979,-19.11547017011446,0.2963884384739255,-20.0308800060883,0.3676228040377437,0.227898098084077,0.06916129741853339,0.2970593955026103,0.8080548655847568,0.0003271151739215928,0,0.6693544623706771,2.874881944281242,6,-20,2.5,455.1441549937599,1129.443912410443,432.7532167391304,221.3252460051563,470.9255053281705,470.3385876352688,0.309954
-20,0,229.613908,230,0.2543138853244677,-43.95231976531596,36.71613662191518,444.574973987511,36.70508591998816,3.644618181316162,36.70043083056105,0.001819876700665191,0.4817610902249824,-19.0658201423449,0.3689626790103714,-20.03294933920338,0.4133050521986025,0.2552404456625236,0.09348282187660663,0.3487232675391302,0.8437430553632833,0.0004000790613352001,0,0.9541842268173468,3.55928015573636,6,-20,2.5,451.6028101079347,1071.437875936068,433.4628596712844,199.8019888308494,470.8571170174461,470.2370547902071,0.386092
-20,0,259.609545,260,0.2573853431733095,-44.13865286358282,37.62809760930754,440.7995652166743,37.61714120089263,3.723515786468283,37.61268650277614,8.98981213595107e-05,0.486240391148181,-19.06523723716944,0.3731177313333023,-20.03305598220584,0.4455747145884628,0.2760143476245518,0.09956592539316143,0.3755802730177133,0.8429119981922738,0.0004299305774107018,0,0.9579216590294095,3.613287222784948,6,-20,2.5,451.4532787039526,1073.285832143598,431.2883513250088,199.7022985422391,470.8514644023854,470.2312474562468,0.390455
-20,0,289.612279,290,0.2554602775211251,-44.0223971225968,37.05495937248404,443.1543939363224,37.04394404463194,2.067985971074506,37.03945274233465,0.000217399636085247,0.4834338065414625,-19.06558121498719,0.3705138067080288,-20.03298924899161,0.4260430460101525,0.3571606755746591,0.002178474502100378,0.3593391500767595,0.8434339051932244,0.0004119134801489214,0,0.8702179759846445,3.579424536722627,6,-20,2.5,451.5465876567363,1072.127947396829,205.0510179272407,199.7623478373161,470.8550232447199,470.2348868161992,0.387721
-20,0,319.609191,320,0.2576347847679195,-44.15413856550717,37.70249051584145,440.500698657234,37.69154165463313,3.035568500762054,37.68742090227183,-1.741140806643671e-06,0.4866041567626784,-19.06521141864218,0.3734551551858736,-20.03306467368637,0.4264132006779731,0.3363009549535478,0.02309947924468332,0.3594004341982311,0.8428454691993695,0.0004113363985716456,0,0.2325296310369254,3.617677850138307,6,-20,2.5,451.4408624122479,1073.432792363521,255.8514741982827,199.6943256335176,470.8509880664172,470.2307758107951,0.390809
-20,0,349.606214,350,0.2597292495514159,-44.28200526466063,38.33256036531958,437.9974226934775,38.32167481990884,3.676183933651316,38.31755599569687,-1.774995780579047e-06,0.4896561188718458,-19.0650130519131,0.3762875678348358,-20.03313729791847,0.43840526351338,0.3568500835369303,0.01241151879621607,0.3692616023331463,0.842283688325007,0.0004219893216794604,0,0.1228456026316849,3.654625383964799,6,-20,2.5,451.3382808390184,1074.679073115827,229.0413633351264,199.6294371119227,470.8469768968269,470.2268168720149,0.393786
-20,0,345.6969,380,14.51842956833207,-28.6597212299952,91.00004914059024,141.6704619065464,90.75618723669649,51.35141497526092,90.37793786129913,17.26118528340709,16.32142377662582,-25.91201665783413,15.8825492444749,-26.75099355741955,2.369058841357804,2.27690995355244,2.750249106319163,5.027159059871604,2.122006837529766,0.01523437943153861,0,27.36888801878143,49.99991097788012,6,-20,2.5,438.0366726640994,567.2376009094119,417.7789397421101,237.2498201492553,288.5877156975163,437.2612373066171,34.3031
